video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd,engagement_rate,watch_time_per_minute,views_per_subscriber
vid_3092,50:41.0,9936,1221.0,320.0,26497.21418,2.862136598,228086,Entertainment,TV,IN,203.1782367,0.1550925925925926,9257.844017128911,0.04356251589312803
vid_3459,50:41.0,10017,642.0,346.0,15209.74744,23.7380686,736015,Gaming,Tablet,CA,140.880508,0.09863232504741938,640.7323062500544,0.013609776974654049
vid_4784,50:41.0,10097,1979.0,187.0,57332.6585,26.2006336,240534,Education,TV,CA,360.1340075,0.21451916410815094,2188.216490306555,0.0419774335436986
vid_4078,50:41.0,10034,1191.0,242.0,31334.51777,11.77034007,434482,Entertainment,Mobile,UK,224.6382615,0.1428144309348216,2662.1590866235692,0.023094167307276252
vid_3522,50:41.0,9889,1858.0,477.0,15665.66643,6.635853863,42030,Education,Mobile,CA,165.5143876,0.23612094246132065,2360.76121527452,0.2352843207232929
vid_5000,50:41.0,10002,843.0,159.0,35131.75623,12.49182616,541268,Music,TV,CA,234.9659963,0.10017996400719856,2812.3795336261705,0.018478831188985863
vid_2041,50:41.0,9989,1944.0,160.0,35380.07091,6.520902681,193736,Music,Mobile,IN,255.0094118,0.2106316948643508,5425.640074814667,0.05155985464756163
vid_3623,50:41.0,10051,784.0,458.0,19263.21258,24.5861209,823662,Entertainment,Tablet,US,164.5334549,0.12356979405034325,783.49946534266,0.01220282106009504
vid_750,50:41.0,9934,292.0,88.0,,5.946665704,58437,Entertainment,Desktop,UK,336.4098562,0.03825246627743104,,0.16999503739069424
vid_4434,50:41.0,10051,,61.0,40011.57994,24.45472329,103872,Tech,Tablet,DE,246.7118825,,1636.1493632750078,0.09676332409118915
vid_3493,50:41.0,9907,,184.0,54008.29683,8.39763944,226781,Gaming,Mobile,US,330.2197626,,6431.366482912488,0.043685317553057795
vid_2400,50:41.0,10052,631.0,406.0,40853.45501,20.33414852,237553,Tech,Mobile,UK,262.8032263,0.10316354954237962,2009.1057646115785,0.04231476765185033
vid_1004,50:41.0,9990,1225.0,236.0,33689.04921,9.152332026,499149,Education,Tablet,UK,235.9907725,0.14624624624624624,3680.9251581231915,0.020014063936820467
vid_4773,50:41.0,10106,1450.0,416.0,39394.25252,26.374592,830553,Music,TV,US,270.4534404,0.18464278646348703,1493.6440540956994,0.012167796636698681
vid_3604,50:41.0,9999,589.0,488.0,22777.41396,15.62954233,258755,Education,Tablet,US,177.9944291,0.1077107710771077,1457.330834075677,0.03864273154141949
vid_2109,50:41.0,9979,689.0,439.0,19196.04536,12.0419849,948421,Tech,Mobile,UK,161.8822861,0.11303737849483916,1594.0931266240004,0.010521698697097596
vid_671,50:41.0,10024,539.0,459.0,38020.72122,14.54594075,294403,Tech,Mobile,AU,248.632004,0.09956105347166799,2613.8372122820588,0.03404856608118803
vid_448,50:41.0,10070,351.0,444.0,21044.39588,19.69320562,33467,Music,Mobile,IN,165.3471581,0.07894736842105263,1068.61200182807,0.3008934173962411
vid_1272,50:41.0,10026,1057.0,339.0,34851.09965,13.67205545,753781,Music,Tablet,AU,240.5396971,0.13923798124875325,2549.0753586725687,0.013300945500085568
vid_2921,50:41.0,10094,303.0,160.0,47507.54331,22.68833343,981054,Tech,Mobile,CA,284.5274593,0.045868832970081236,2093.919478774162,0.010288934146336491
vid_4990,50:41.0,10092,221.0,330.0,60498.57805,16.93223027,173160,Lifestyle,Tablet,DE,347.2762223,0.05459770114942529,3572.9834218702713,0.05828135828135828
vid_4328,50:41.0,9943,1345.0,60.0,17886.97822,20.03945712,338260,Entertainment,TV,IN,160.2839649,0.14130544101377854,892.5879634807193,0.029394548572104297
vid_575,50:41.0,10073,489.0,245.0,26111.17552,3.664890897,504852,Lifestyle,TV,US,188.2018742,0.07286806313908469,7124.680175711109,0.019952382084254396
vid_4361,50:41.0,9804,1010.0,338.0,,11.09839972,156446,Lifestyle,Tablet,UK,279.1120967,0.13749490004079967,,0.06266699052708283
vid_2344,50:41.0,9774,1856.0,69.0,53348.9279,13.64473091,364772,Tech,Mobile,DE,335.5274587,0.19695109474115,3909.855624994513,0.026794819777833826
vid_801,50:41.0,9794,835.0,391.0,30449.2582,23.10423728,10301,Education,Desktop,CA,215.6563974,0.1251786808249949,1317.9079590893123,0.9507814775264537
vid_539,50:41.0,9960,618.0,383.0,39763.61816,8.994536381,618908,Music,TV,DE,256.5670507,0.10050200803212851,4420.863563795951,0.016092860328190944
vid_2710,50:41.0,9942,1027.0,102.0,48958.79643,6.459105764,634747,Education,Desktop,CA,302.0242408,0.11355864011265339,7579.810304837114,0.015662933420717232
vid_2836,50:41.0,10125,1174.0,65.0,41767.73518,27.1519405,271933,Music,Desktop,CA,270.9658367,0.12237037037037037,1538.2965051798049,0.037233436177293674
vid_1009,50:41.0,10053,1628.0,413.0,19785.20539,29.89439109,553639,Entertainment,Desktop,DE,180.7375239,0.20302397294339997,661.8367081113877,0.018158041611952915
vid_4998,50:41.0,9795,1828.0,129.0,27373.47184,22.90109697,720229,Tech,Tablet,CA,213.7246578,0.19979581419091375,1195.2908577199914,0.013599841161630537
vid_4583,50:41.0,9780,308.0,157.0,52937.92454,21.95479043,711242,Education,Tablet,AU,308.5274967,0.04754601226993865,2411.2243161138663,0.013750594031286116
vid_1207,50:41.0,9920,1799.0,105.0,34721.30414,22.69150992,415686,Entertainment,Desktop,DE,248.1066448,0.19193548387096773,1530.1451627684369,0.023864166702751596
vid_2435,50:41.0,10021,1946.0,219.0,45743.52793,11.44449753,306189,Music,Mobile,CA,305.0834608,0.2160463027641952,3996.9887546474047,0.03272815156651611
vid_334,50:41.0,9949,1662.0,,33385.2088,2.300076437,803842,Tech,Tablet,CA,241.3914944,,14514.8257957655,0.012376810368206688
vid_2500,50:41.0,10052,1990.0,66.0,52577.61606,7.230923033,593102,Entertainment,Mobile,UK,335.5911139,0.20453641066454437,7271.217771237478,0.016948180919976664
vid_842,50:41.0,10247,1176.0,170.0,16581.21641,3.279580591,632652,Gaming,TV,AU,154.6978099,0.1313555186883966,5055.895395741473,0.01619689813673236
vid_3785,50:41.0,9928,1535.0,408.0,22048.37629,26.60644951,191029,Music,Desktop,UK,189.0716642,0.19570910556003224,828.6854013239589,0.05197116668149862
vid_3485,50:41.0,9868,626.0,157.0,16920.21906,23.1787203,91026,Music,Mobile,AU,144.6448317,0.07934738548844751,729.9893540714584,0.10840858655768681
vid_1477,50:41.0,9893,220.0,369.0,53450.49699,3.542635291,205569,Tech,Mobile,DE,313.6640439,0.05953704639644193,15087.778616610638,0.04812496047555809
vid_261,50:41.0,10035,1259.0,151.0,,18.09968085,257566,Tech,Desktop,DE,147.880515,0.14050822122571002,,0.038960887694804436
vid_2414,50:41.0,9968,,323.0,57697.24617,14.53768121,697130,Gaming,TV,CA,349.5792656,,3968.80667119815,0.01429862435987549
vid_2365,50:41.0,10085,809.0,167.0,19494.33412,11.31412972,245573,Lifestyle,Desktop,AU,161.2284033,0.09677739216658404,1723.0078320155585,0.04106721830168626
vid_172,50:41.0,10133,1699.0,299.0,15595.6292,11.16598904,528998,Music,Mobile,IN,160.6633927,0.1971775387348268,1396.7082668746737,0.019155081871765112
vid_2080,50:41.0,10098,1516.0,131.0,23557.56903,7.661627216,660932,Education,Mobile,AU,191.9851177,0.16310160427807488,3074.7474871661775,0.015278425011952819
vid_4607,50:41.0,9964,464.0,230.0,35097.42398,9.835019822,872419,Tech,TV,DE,229.3124362,0.06965074267362505,3568.617513255074,0.011421117605187416
vid_518,50:41.0,10001,1353.0,380.0,42505.34464,5.867130297,480469,Gaming,Tablet,UK,282.2877861,0.17328267173282672,7244.656670013614,0.020815078600284306
vid_2989,50:41.0,10001,,414.0,16299.66002,24.19334111,124529,Entertainment,Mobile,IN,154.7183105,,673.7250529346172,0.08031061037991151
vid_4109,50:41.0,9929,1932.0,185.0,,19.63818632,986248,Gaming,Desktop,US,234.1398692,0.21321381810857085,,0.010067447538550142
vid_928,50:41.0,10151,1850.0,421.0,26010.62523,24.5504107,837462,Lifestyle,Tablet,IN,214.5511974,0.22372180080780218,1059.4782119062472,0.012121146989355935
vid_3529,50:41.0,9795,457.0,216.0,42773.11631,29.90618302,47620,Tech,Tablet,UK,264.2582708,0.06870852475752935,1430.2432470701838,0.20569088618227635
vid_3064,50:41.0,10166,317.0,383.0,52754.11235,11.54656634,66516,Tech,Desktop,AU,313.711147,0.06885697422781822,4568.813861766632,0.15283540802213003
vid_4788,50:41.0,10180,325.0,380.0,27168.01261,19.52919019,939271,Gaming,Desktop,CA,193.2434492,0.06925343811394892,1391.1489593619447,0.0108381925983023
vid_4112,50:41.0,9987,856.0,179.0,40777.63088,3.535899803,377964,Music,Tablet,DE,262.0727005,0.10363472514268549,11532.462216661968,0.026423151411245516
vid_2221,50:41.0,9989,450.0,,,22.08538485,429793,Music,Desktop,AU,213.6837668,,,0.02324142087004674
vid_2960,50:41.0,10013,1256.0,166.0,38177.28077,29.58863181,498732,Lifestyle,Mobile,IN,256.6002327,0.1420153800059922,1290.2685401322717,0.020076915056583496
vid_2745,50:41.0,9982,1099.0,197.0,39735.17684,12.99968855,621563,Tech,Mobile,US,261.6178607,0.12983370066119015,3056.625294303685,0.01605951448203963
vid_3192,50:41.0,9949,1826.0,245.0,39274.76591,4.577987242,183444,Tech,Tablet,AU,272.595492,0.20816162428384763,8579.04660582713,0.05423453478990864
vid_60,50:41.0,10039,501.0,73.0,28023.18669,4.593501385,434927,Tech,TV,AU,194.2889893,0.057177009662316966,6100.615704941167,0.023082034456357044
vid_479,50:41.0,10091,448.0,486.0,25142.05919,5.016507335,946478,Education,Tablet,UK,187.1641982,0.09255772470518284,5011.865330004546,0.010661631860434157
